,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
304,HDB,31.522935779816514,68.47706422018348,2725.0,19.22230374174615,80.00733675715334,24.114796869176296,73.38799850913158,25.114796869176296,74.8852031308237
305,HDC,22.5609756097561,77.4390243902439,164.0,9.876543209876543,90.12345679012346,10.81081081081081,87.16216216216216,11.81081081081081,88.1891891891892
306,HDD,13.18051575931232,86.81948424068769,349.0,3.6211699164345403,96.10027855153203,9.365558912386707,90.03021148036255,10.365558912386707,89.6344410876133
307,HDE,5.0,95.0,60.0,0.0,98.0,5.0,95.0,6.0,94.0
308,HEA,30.434782608695656,69.56521739130434,253.0,19.444444444444446,80.55555555555556,24.390243902439025,75.20325203252033,25.390243902439025,74.60975609756098
309,HEB,20.689655172413794,79.3103448275862,145.0,8.96551724137931,90.34482758620689,13.600000000000001,86.4,14.600000000000001,85.4
310,HEC,32.10227272727273,67.89772727272727,352.0,17.403314917127073,82.59668508287292,31.15264797507788,66.35514018691589,32.15264797507788,67.84735202492212
311,HED,20.930232558139537,79.06976744186046,43.0,4.444444444444445,95.55555555555556,19.230769230769234,76.92307692307692,20.230769230769234,79.76923076923077
312,HEE,0.0,100.0,22.0,0.0,100.0,5.555555555555555,88.88888888888889,6.555555555555555,93.44444444444444
313,HEF,4.736842105263158,95.26315789473684,190.0,4.736842105263158,95.26315789473685,5.806451612903226,92.90322580645162,6.806451612903226,93.19354838709677
314,HFA,25.570776255707763,74.42922374429224,219.0,13.839285714285715,86.16071428571428,30.555555555555557,68.5185185185185,31.555555555555557,68.44444444444444
315,HFB,23.893805309734514,76.10619469026548,226.0,14.40329218106996,85.18518518518519,26.200873362445414,72.0524017467249,27.200873362445414,72.7991266375546
316,HFC,28.431372549019606,71.56862745098039,102.0,19.41747572815534,80.58252427184466,30.0,68.75,31.0,69.0
317,HFD,29.67032967032967,70.32967032967034,91.0,10.638297872340425,89.36170212765958,26.582278481012654,73.41772151898735,27.582278481012654,72.41772151898735
318,HFE,19.148936170212767,80.85106382978722,141.0,12.587412587412588,87.41258741258741,23.684210526315788,74.56140350877192,24.684210526315788,75.31578947368422
319,HFF,62.5,37.5,24.0,65.0,35.0,65.21739130434783,34.78260869565217,66.21739130434783,33.78260869565217
320,HFG,28.65853658536585,71.34146341463415,2788.0,19.007686932215233,80.32844164919636,24.0,73.65765765765765,25.0,75.0
321,HFH,24.47257383966245,75.52742616033755,237.0,17.073170731707318,82.52032520325204,20.361990950226243,78.28054298642533,21.361990950226243,78.63800904977376
322,HFI,32.83582089552239,67.16417910447761,201.0,17.12962962962963,81.94444444444446,13.80952380952381,86.19047619047618,14.80952380952381,85.19047619047619
323,HZZ,27.335299901671583,72.66470009832841,2034.0,15.46653144016227,82.75862068965517,25.308359981726813,71.99634536317953,26.308359981726813,73.69164001827319
324,IAA,28.22502424830262,71.77497575169738,1031.0,17.72771792360431,82.17433888344759,24.869383490073147,73.45872518286312,25.869383490073147,74.13061650992685
325,IAB,24.1635687732342,75.8364312267658,269.0,15.2,84.39999999999999,19.387755102040817,80.10204081632654,20.387755102040817,79.61224489795919
326,IAC,26.47991002964932,73.52008997035068,19562.0,19.27914976639113,79.88396570313704,25.524830699774263,72.29119638826185,26.524830699774263,73.47516930022573
327,IAD,34.732400621807685,65.26759937819232,4503.0,21.55210643015521,77.45011086474501,32.15288274670697,66.0332541567696,33.15288274670697,66.84711725329302
328,IAE,31.70080142475512,68.29919857524487,2246.0,20.45152722443559,78.84019477644975,30.00428632661809,68.40977282468924,31.00428632661809,68.99571367338191
